单词,视觉,明亮度,黑暗度,颜色,图案,大,小,快,慢,复杂度,脸,身体,触摸,热,冷,轻,重,疼痛,响亮,声音,音乐,味觉,嗅觉,头,上肢,下肢,实践,地标,路径,场景,近距离,朝向,远离,数字,持续时间,长,短,造成,后果性,人类,沟通,自我,认知,益处,快乐,悲伤,生气,厌恶,害怕,惊讶,驱动力,需要,注意力,唤醒
矮子,5.9,2.5,2.366666667,2.333333333,2.233333333,2.633333333,3.433333333,2.5,4.033333333,3.5,6.5,6.466666667,2.733333333,3.566666667,1.6,2.2,3.4,1.5,2.233333333,1.566666667,1.866666667,1.2,1.3,1.366666667,1.333333333,2.133333333,1.966666667,1.466666667,1.533333333,1.766666667,2.133333333,1.766666667,1.833333333,1.566666667,1.333333333,3.766666667,2.333333333,2.733333333,2.3,2.466666667,1.6,4.566666667,1.833333333,1.8,1.4,2.6,1.933333333,1.9,1.433333333,1.5,1.233333333,1.233333333,2.433333333,1.433333333
爱情,3.1,3.6,1.466666667,2.633333333,1.466666667,2.033333333,2.766666667,1.666666667,4.5,2.3,1.833333333,1.633333333,1.033333333,1.766666667,1.166666667,1.433333333,1.366666667,1.666666667,2.2,1.533333333,1.8,1.3,1.166666667,2.366666667,1.6,1.566666667,3.233333333,1.033333333,1.2,1.566666667,2.866666667,2.166666667,1.533333333,1.933333333,1.466666667,3.733333333,2.433333333,4.633333333,5.466666667,5.533333333,4.433333333,3.5,6.1,4.933333333,5.866666667,2.266666667,2.3,1.366666667,1.366666667,2.7,4.633333333,4.233333333,4.333333333,5.2
安静,3.433333333,2.133333333,1.833333333,2.666666667,1.866666667,2.033333333,3,1.466666667,4,0,2.6,1.9,1.1,1.233333333,1.7,1.8,1.433333333,1.166666667,1.1,3.3,2.733333333,1,1.166666667,2.8,1.333333333,1.533333333,0,1.666666667,1.3,3.466666667,1.533333333,1.366666667,1.166666667,1.066666667,1.233333333,1.866666667,3.266666667,0,2.7,3.433333333,3.833333333,4.3,3.166666667,3.7,3.666666667,1.866666667,1.4,1.2,1.433333333,1.366666667,1.533333333,3.366666667,1.933333333,1.233333333
安全,3.766666667,2.433333333,1.566666667,2.3,1.8,2.533333333,2.366666667,1.633333333,3.2,0,1.9,1.933333333,1.333333333,1.433333333,1.3,1.5,1.633333333,1.166666667,1.133333333,1.666666667,1.233333333,1.133333333,1.366666667,1.466666667,1.3,1.533333333,0,1.966666667,1.833333333,3.133333333,1.766666667,1.5,1.133333333,1.233333333,1.2,1.966666667,2.366666667,0,3.066666667,3.733333333,2.366666667,2.8,2.333333333,5.7,4.233333333,1.1,1.133333333,1.1,1.133333333,1.333333333,2.566666667,5.6,2.2,1.566666667
安慰,4.6,2.2,1.766666667,1.866666667,1.933333333,2.333333333,2.9,1.833333333,3.566666667,0,3.533333333,3.033333333,3.433333333,1.9,1.366666667,1.833333333,1.866666667,1.166666667,2.166666667,3.333333333,1.533333333,1.233333333,1.1,3.6,2.166666667,1.166666667,3.4,2.033333333,1.433333333,1.733333333,3.266666667,2.333333333,1.6,1.233333333,1.733333333,1.933333333,4.633333333,4.1,4.066666667,5.533333333,5.766666667,5.6,4.966666667,5.966666667,4.233333333,2.433333333,1.266666667,1.333333333,1.066666667,1.5,3.533333333,3.4,3.3,2.733333333
安葬,5.7,1.633333333,4.333333333,2.3,2.566666667,3.2,2.866666667,1.566666667,3.766666667,0,1.366666667,3.1,2.633333333,1.366666667,2.9,1.7,3.3,2.833333333,2.066666667,2,1.433333333,1.033333333,1.633333333,1.533333333,2.6,2.433333333,1.766666667,2.566666667,2.633333333,5.533333333,3.3,2.4,3.033333333,1.833333333,2.633333333,2.266666667,4.466666667,4.9,3.6,5,2.066666667,1.533333333,1.866666667,2.466666667,1.466666667,5.9,1.633333333,1.733333333,2.8,1.566666667,2.633333333,1.633333333,3.7,3.066666667
安装,5.9,1.866666667,1.933333333,2.3,3.033333333,2.566666667,3.2,2.233333333,3.133333333,0,1.3,3.966666667,3.066666667,1.666666667,1.633333333,2.5,3.233333333,1.333333333,2.4,2.033333333,1.2,1.066666667,1.3,1.1,4.233333333,1.666666667,3.7,2.966666667,1.8,2.666666667,4.8,3.2,1.7,1.4,2.6,2.5,4.8,5.033333333,3.4,4.933333333,2.1,2.733333333,2.333333333,2.933333333,2.2,1.266666667,1.333333333,1.233333333,1.2,1.3,2.966666667,2.5,2.4,1.566666667
案件,4.233333333,2,2.9,1.833333333,1.766666667,1.8,3.5,1.4,4.733333333,3.633333333,1.5,1.233333333,1.066666667,1.2,1.5,1.733333333,1.333333333,2.333333333,1.9,1.466666667,1.133333333,1.133333333,1.133333333,1.433333333,1.866666667,1.633333333,1.666666667,1.333333333,1.2,3.066666667,1.6,1.5,1.4,1.4,2.366666667,2.7,3.133333333,5.466666667,5.3,5.4,3.3,1.6,3.766666667,1.9,1.333333333,4.2,3.833333333,3.533333333,3.933333333,4.466666667,2.966666667,1.366666667,4.333333333,3.666666667
版本,3,1.866666667,2.2,1.833333333,1.566666667,1.533333333,3.333333333,1.266666667,5.066666667,1.9,1.2,1.133333333,1.066666667,1.133333333,1.366666667,1.8,1.233333333,1.133333333,1.1,1.1,1,1,1.033333333,1.1,1.1,1.133333333,2.366666667,1.033333333,1.333333333,1.233333333,2,1.233333333,1.233333333,1.5,1.3,2.4,3,3.4,2.766666667,3.333333333,2.566666667,1.4,2.2,2.166666667,2.1,1.366666667,1.433333333,1.433333333,1.166666667,1.6,1.7,1.766666667,2.066666667,1.633333333
包裹,6.666666667,2.533333333,2.9,3.266666667,2.966666667,2.133333333,4.566666667,2.033333333,5.566666667,2.833333333,1.133333333,1.266666667,3.833333333,1.7,2.466666667,3.5,2.4,1.3,1.7,1.733333333,1.266666667,1.4,1.533333333,1.2,3.3,1.166666667,4.133333333,1.633333333,2.366666667,2.533333333,3.633333333,3.233333333,2.666666667,1.5,1.733333333,1.9,3.566666667,4.166666667,2.466666667,2.866666667,1.933333333,1.5,1.266666667,2.533333333,2.4,1.233333333,1.166666667,1.366666667,1.6,1.6,1.833333333,2.333333333,2.466666667,1.766666667
